typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"218356.298","218356.298","0","false","true",
"C","A","20240101","2024","52","2024","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","8","kg","733642.42","false","8","kg","733642.42","false","733642.42","false","0","false",,"6399093.79","6399093.79","0","false","true",
"C","A","20240101","2024","52","2024","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","8","kg","32466.61","false","8","kg","32466.61","false","32466.61","false","0","false",,"80331.98","80331.98","0","false","true",
"C","A","20240101","2024","52","2024","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","8","kg","2250","false","8","kg","2250","false","2250","false","0","false",,"8109","8109","0","false","true",
"C","A","20240101","2024","52","2024","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","8","kg","13137.38","false","8","kg","13137.38","false","13137.38","false","0","false",,"23386.72","23386.72","0","false","true",
"C","A","20240101","2024","52","2024","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","8","kg","97633.334","true","-1","N/A","0","false","97633.334","true","0","false",,"582425.999","582425.999","6","false","true",
"C","A","20240101","2024","52","2024","104","MMR","Myanmar","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","8","kg","1886858","false","8","kg","1886858","false","1886858","false","0","false",,"888560.558","888560.558","0","false","true",
"C","A","20240101","2024","52","2024","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3900","Land, not else classified","8","kg","41985.52","false","8","kg","41985.52","false","41985.52","false","0","false",,"345657.77","345657.77","0","false","true",
"C","A","20240101","2024","52","2024","104","MMR","Myanmar","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","9110","Pipelines","8","kg","370970.52","false","8","kg","370970.52","false","370970.52","false","0","false",,"855454.75","855454.75","0","false","true",
"C","A","20240101","2024","52","2024","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","9200","Postal consignments, mail or courier shipment","8","kg","2","false","8","kg","2","false","2","false","0","false",,"51.6","51.6","0","false","true",
