Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","270","Gambia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","42","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5910","Export quantity","667","Tea leaves","2024","2024","t","1689.66","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","2872","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export quantity","667","Tea leaves","2024","2024","t","21485.47","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export value","667","Tea leaves","2024","2024","1000 USD","250784","A","Official figure",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","667","Tea leaves","2024","2024","t","113.4","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5922","Export value","667","Tea leaves","2024","2024","1000 USD","134","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","300","Greece","5910","Export quantity","667","Tea leaves","2024","2024","t","186.16","A","Official figure",""
"TCL","Crops and livestock products","300","Greece","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1418","A","Official figure",""
"TCL","Crops and livestock products","308","Grenada","5910","Export quantity","667","Tea leaves","2024","2024","t","37.65","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","308","Grenada","5922","Export value","667","Tea leaves","2024","2024","1000 USD","8","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export quantity","667","Tea leaves","2024","2024","t","2.1","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5922","Export value","667","Tea leaves","2024","2024","1000 USD","10","A","Official figure",""
"TCL","Crops and livestock products","324","Guinea","5910","Export quantity","667","Tea leaves","2024","2024","t","1.21","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","324","Guinea","5922","Export value","667","Tea leaves","2024","2024","1000 USD","7","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","624","Guinea-Bissau","5910","Export quantity","667","Tea leaves","2024","2024","t","0.01","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","624","Guinea-Bissau","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","328","Guyana","5910","Export quantity","667","Tea leaves","2024","2024","t","0.84","A","Official figure",""
"TCL","Crops and livestock products","328","Guyana","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","332","Haiti","5910","Export quantity","667","Tea leaves","2024","2024","t","3.46","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","332","Haiti","5922","Export value","667","Tea leaves","2024","2024","1000 USD","28","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","667","Tea leaves","2024","2024","t","0","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","348","Hungary","5910","Export quantity","667","Tea leaves","2024","2024","t","52.41","A","Official figure",""
"TCL","Crops and livestock products","348","Hungary","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1302","A","Official figure",""
"TCL","Crops and livestock products","352","Iceland","5910","Export quantity","667","Tea leaves","2024","2024","t","0.17","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","352","Iceland","5922","Export value","667","Tea leaves","2024","2024","1000 USD","14","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","667","Tea leaves","2024","2024","t","249985.74","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","667","Tea leaves","2024","2024","1000 USD","804157","A","Official figure",""
"TCL","Crops and livestock products","360","Indonesia","5910","Export quantity","667","Tea leaves","2024","2024","t","34001.62","A","Official figure",""
"TCL","Crops and livestock products","360","Indonesia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","52852","A","Official figure",""
"TCL","Crops and livestock products","364","Iran (Islamic Republic of)","5910","Export quantity","667","Tea leaves","2024","2024","t","7046.92","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","364","Iran (Islamic Republic of)","5922","Export value","667","Tea leaves","2024","2024","1000 USD","8822","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","368","Iraq","5910","Export quantity","667","Tea leaves","2024","2024","t","77.03","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","368","Iraq","5922","Export value","667","Tea leaves","2024","2024","1000 USD","296","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","667","Tea leaves","2024","2024","t","1265.74","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","667","Tea leaves","2024","2024","1000 USD","10485","A","Official figure",""
"TCL","Crops and livestock products","376","Israel","5910","Export quantity","667","Tea leaves","2024","2024","t","139.98","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","376","Israel","5922","Export value","667","Tea leaves","2024","2024","1000 USD","2921","A","Official figure",""
"TCL","Crops and livestock products","380","Italy","5910","Export quantity","667","Tea leaves","2024","2024","t","1337.42","A","Official figure",""
"TCL","Crops and livestock products","380","Italy","5922","Export value","667","Tea leaves","2024","2024","1000 USD","8982","A","Official figure",""
"TCL","Crops and livestock products","388","Jamaica","5910","Export quantity","667","Tea leaves","2024","2024","t","571.86","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","388","Jamaica","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1630","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","392","Japan","5910","Export quantity","667","Tea leaves","2024","2024","t","8884.64","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5922","Export value","667","Tea leaves","2024","2024","1000 USD","242385","A","Official figure",""
"TCL","Crops and livestock products","400","Jordan","5910","Export quantity","667","Tea leaves","2024","2024","t","6071.1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","400","Jordan","5922","Export value","667","Tea leaves","2024","2024","1000 USD","37896","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","398","Kazakhstan","5910","Export quantity","667","Tea leaves","2024","2024","t","5075.17","A","Official figure",""
"TCL","Crops and livestock products","398","Kazakhstan","5922","Export value","667","Tea leaves","2024","2024","1000 USD","26856","A","Official figure",""
"TCL","Crops and livestock products","404","Kenya","5910","Export quantity","667","Tea leaves","2024","2024","t","466669.73","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","404","Kenya","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1080785","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","296","Kiribati","5910","Export quantity","667","Tea leaves","2024","2024","t","15.7","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","296","Kiribati","5922","Export value","667","Tea leaves","2024","2024","1000 USD","30","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","414","Kuwait","5910","Export quantity","667","Tea leaves","2024","2024","t","0.54","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","414","Kuwait","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","417","Kyrgyzstan","5910","Export quantity","667","Tea leaves","2024","2024","t","37.42","A","Official figure",""
"TCL","Crops and livestock products","417","Kyrgyzstan","5922","Export value","667","Tea leaves","2024","2024","1000 USD","134","A","Official figure",""
"TCL","Crops and livestock products","418","Lao People's Democratic Republic","5910","Export quantity","667","Tea leaves","2024","2024","t","46.93","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","418","Lao People's Democratic Republic","5922","Export value","667","Tea leaves","2024","2024","1000 USD","264","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","428","Latvia","5910","Export quantity","667","Tea leaves","2024","2024","t","306.24","A","Official figure",""
"TCL","Crops and livestock products","428","Latvia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","5214","A","Official figure",""
"TCL","Crops and livestock products","422","Lebanon","5910","Export quantity","667","Tea leaves","2024","2024","t","318.31","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","422","Lebanon","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1929","A","Official figure",""
"TCL","Crops and livestock products","426","Lesotho","5910","Export quantity","667","Tea leaves","2024","2024","t","278.23","A","Official figure",""
"TCL","Crops and livestock products","426","Lesotho","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1492","A","Official figure",""
"TCL","Crops and livestock products","430","Liberia","5910","Export quantity","667","Tea leaves","2024","2024","t","0.05","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","430","Liberia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","434","Libya","5910","Export quantity","667","Tea leaves","2024","2024","t","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","434","Libya","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","440","Lithuania","5910","Export quantity","667","Tea leaves","2024","2024","t","157","A","Official figure",""
"TCL","Crops and livestock products","440","Lithuania","5922","Export value","667","Tea leaves","2024","2024","1000 USD","2932","A","Official figure",""
"TCL","Crops and livestock products","442","Luxembourg","5910","Export quantity","667","Tea leaves","2024","2024","t","8.19","A","Official figure",""
"TCL","Crops and livestock products","442","Luxembourg","5922","Export value","667","Tea leaves","2024","2024","1000 USD","840","A","Official figure",""
"TCL","Crops and livestock products","450","Madagascar","5910","Export quantity","667","Tea leaves","2024","2024","t","5.67","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","450","Madagascar","5922","Export value","667","Tea leaves","2024","2024","1000 USD","59","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","454","Malawi","5910","Export quantity","667","Tea leaves","2024","2024","t","28251.79","A","Official figure",""
"TCL","Crops and livestock products","454","Malawi","5922","Export value","667","Tea leaves","2024","2024","1000 USD","69372","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","667","Tea leaves","2024","2024","t","6556.55","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","13720","A","Official figure",""
"TCL","Crops and livestock products","466","Mali","5910","Export quantity","667","Tea leaves","2024","2024","t","36.49","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","466","Mali","5922","Export value","667","Tea leaves","2024","2024","1000 USD","23","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","470","Malta","5910","Export quantity","667","Tea leaves","2024","2024","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","470","Malta","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","584","Marshall Islands","5910","Export quantity","667","Tea leaves","2024","2024","t","0.01","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","584","Marshall Islands","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","478","Mauritania","5910","Export quantity","667","Tea leaves","2024","2024","t","298.5","A","Official figure",""
